State,Institution Name,Routing Numbers
Oklahoma,Security Bank and Trust Company,104000033
Kentucky,Sonata Bank,061004181
Georgia,Southern First Bank,065012020
Illinois,State Bank of Texas,111901629
Alabama,Story Bank DBA Story Financial Partners,071004662
Illinois,TECH,
Alabama,TEXHILLCO SCHOOL EMPLOYEES,
Tennessee,THE WEST TENNESSEE,
New York,TRANSIT WORKERS,
North Carolina,TRULIANT,
Minnesota,TWO HARBORS,
Illinois,The Bank of Advance,
Kansas,"The City National Bank and Trust Company of Lawton, Oklahoma",103000036
Ohio,The Farmers National Bank of Canfield,044000028
Indiana,The Hicksville Bank,061013227
Georgia,The Security State Bank,072401395
Florida,Third Federal Savings and Loan Association of Cleveland,041000014
Illinois,Town & Country Bank Midwest,073008175
Tennessee,UBank,063003379
California,UNITED CATHOLICS,
North Carolina,URW COMMUNITY,
New York,UTICA GAS & ELECTRIC EMP,
California,United Business Bank,
Georgia,VALDOSTA TEACHERS,
Oklahoma,Valliance Bank,111301486
Alabama,WEYCO COMMUNITY,
Iowa,Washington County Bank,
Colorado,Waypoint Bank,
New Jersey,XCEL,
Minnesota,ZIEGLER,
New York,ACCESS,311376902
Wisconsin,ADVIA,
Georgia,AUTOTRUCK FINANCIAL,
Kansas,Adams Bank & Trust,
Texas,Anthem Bank & Trust,
California,Banc of California,
Pennsylvania,Burke & Herbert Bank & Trust Company,
Tennessee,"CB&S Bank, Inc.",
Illinois,CIBM Bank,
New York,COMPASS,
Pennsylvania,CORNING,
Alabama,Capital City Bank,
Louisiana,Citizens Bank & Trust Company,053902197
Virginia,City National Bank of West Virginia,051000052
Illinois,Community Savings Bank,
Indiana,Crossroads Bank,065923034
Wisconsin,DUPACO COMMUNITY,
California,"Esquire Bank, National Association",
Louisiana,FEDERAL EMPLOYEES,
Wisconsin,FIREFIGHTERS,
Indiana,First Business Bank,075001462
New York,First Citizens Community Bank,061108155
Kentucky,First Federal Savings Bank,064002217
Minnesota,First Resource Bank,066002135
New Jersey,Freedom Bank,011103093
Ohio,GENFED FINANCIAL,
Colorado,Glacier Bank,080002243
Louisiana,HOPE,
New York,"Hana Bank USA, National Association",021010854
Indiana,Horizon Bank,065923034
Louisiana,"Investar Bank, National Association",061014325
Texas,KRAFTMAN,
Florida,MAYO EMPLOYEES,
Ohio,MEMBERS TRUST,
Utah,Mechanics Bank,121040274
Massachusetts,"NBT Bank, National Association",021011405
Tennessee,"New Peoples Bank, Inc.",061113822
Tennessee,Oakworth Capital Bank,065000048
Indiana,PARTNERS 1ST,
New Jersey,PUBLIC SERVICE,
Georgia,PeoplesSouth Bank,061012754
Florida,Popular Bank,065001737
Michigan,RIVER VALLEY,
Utah,SECURITY SERVICE,
Illinois,STALEY,
New York,SUMA,
Pennsylvania,SUN,
Illinois,Southern Bank,
Missouri,Stockmens Bank,
Pennsylvania,TOLEDO FIRE FIGHTERS,
Kansas,The Community Bank,103000197
Tennessee,The First Bank and Trust Company,
Virginia,TruPoint Bank,050904350
California,US Metro Bank,
